ID,Result
2015_1107_1328,0
2015_1112_1462,1
2015_1116_1314,0
2015_1116_1459,1
2015_1124_1209,0
2015_1125_1438,0
2015_1129_1173,0
2015_1138_1452,0
2015_1139_1400,1
2015_1153_1246,0
2015_1153_1345,1
2015_1157_1458,0
2015_1173_1328,0
2015_1173_1344,1
2015_1181_1211,1
2015_1181_1277,1
2015_1181_1428,1
2015_1181_1458,1
2015_1186_1207,0
2015_1209_1462,0
2015_1211_1234,1
2015_1214_1246,0
2015_1217_1314,0
2015_1246_1452,1
2015_1246_1458,0
2015_1248_1437,0
2015_1257_1277,0
2015_1257_1320,1
2015_1261_1301,0
2015_1268_1452,0
2015_1277_1438,1
2015_1279_1462,0
2015_1314_1458,0
2015_1320_1461,1
2015_1332_1458,0
2015_1372_1428,0
2015_1374_1417,0
2016_1112_1455,0
2016_1114_1345,1
2016_1122_1242,0
2016_1138_1274,0
2016_1139_1403,1
2016_1160_1163,0
2016_1163_1242,0
2016_1167_1328,0
2016_1181_1332,0
2016_1181_1463,1
2016_1195_1314,0
2016_1211_1371,1
2016_1221_1332,0
2016_1231_1246,1
2016_1231_1314,0
2016_1233_1235,0
2016_1234_1396,1
2016_1234_1437,0
2016_1235_1438,0
2016_1242_1268,1
2016_1242_1437,0
2016_1246_1392,1
2016_1268_1355,1
2016_1274_1455,1
2016_1276_1323,0
2016_1276_1409,1
2016_1314_1323,1
2016_1314_1344,1
2016_1314_1393,1
2016_1314_1437,0
2016_1320_1400,1
2016_1320_1401,0
2016_1323_1372,1
2016_1328_1401,1
2016_1328_1437,0
2016_1332_1386,1
2016_1338_1458,0
2016_1393_1438,1
2016_1401_1453,1
2016_1421_1437,0
2016_1435_1455,0
2017_1112_1462,0
2017_1116_1314,0
2017_1116_1371,1
2017_1124_1308,1
2017_1124_1425,1
2017_1181_1376,0
2017_1195_1199,0
2017_1196_1376,0
2017_1196_1438,1
2017_1211_1321,1
2017_1211_1355,1
2017_1211_1376,1
2017_1211_1462,1
2017_1233_1332,0
2017_1235_1345,0
2017_1240_1257,0
2017_1242_1277,1
2017_1242_1332,0
2017_1242_1345,1
2017_1243_1448,1
2017_1246_1417,1
2017_1246_1455,1
2017_1268_1462,0
2017_1274_1277,0
2017_1276_1329,1
2017_1276_1332,0
2017_1278_1292,0
2017_1300_1413,0
2017_1314_1332,1
2017_1345_1436,1
2017_1374_1425,0
2017_1423_1438,0
2017_1437_1458,0
2018_1104_1437,0
2018_1104_1439,1
2018_1112_1138,0
2018_1120_1155,0
2018_1120_1158,1
2018_1137_1277,0
2018_1138_1246,0
2018_1139_1345,0
2018_1153_1209,1
2018_1153_1305,0
2018_1166_1243,0
2018_1168_1345,0
2018_1172_1246,0
2018_1181_1233,1
2018_1181_1242,0
2018_1181_1348,1
2018_1181_1393,1
2018_1199_1211,1
2018_1199_1276,0
2018_1199_1281,1
2018_1199_1462,1
2018_1211_1422,1
2018_1222_1276,0
2018_1222_1361,1
2018_1242_1335,1
2018_1243_1420,1
2018_1252_1314,0
2018_1260_1276,0
2018_1260_1305,1
2018_1260_1397,1
2018_1267_1452,0
2018_1267_1455,1
2018_1276_1401,1
2018_1276_1437,0
2018_1293_1452,0
2018_1300_1411,0
2018_1301_1371,0
2018_1305_1400,1
2018_1314_1401,0
2018_1328_1348,0
2018_1345_1403,0
2018_1347_1437,0
2018_1372_1403,0
2018_1403_1437,0
2018_1411_1462,0
2018_1420_1438,1
2018_1437_1452,1
2019_1101_1246,0
2019_1113_1138,0
2019_1120_1242,1
2019_1120_1246,1
2019_1120_1308,1
2019_1120_1314,1
2019_1124_1211,0
2019_1124_1393,1
2019_1125_1268,0
2019_1153_1234,0
2019_1159_1397,0
2019_1181_1295,1
2019_1181_1439,1
2019_1192_1211,0
2019_1196_1276,0
2019_1196_1305,1
2019_1199_1211,0
2019_1205_1438,0
2019_1209_1222,0
2019_1222_1246,0
2019_1222_1326,1
2019_1233_1314,0
2019_1234_1397,0
2019_1235_1326,0
2019_1251_1280,1
2019_1251_1439,0
2019_1261_1268,1
2019_1261_1463,1
2019_1277_1403,0
2019_1297_1403,0
2019_1314_1449,1
2019_1328_1438,0
2019_1330_1345,0
2019_1332_1438,0
2019_1332_1458,1
2019_1403_1438,0
2019_1416_1433,1
