County,State,2010 Census,Base,2019-Pop
Autauga,Alabama,54571,54597,55869
Baldwin,Alabama,182265,182265,223234
Barbour,Alabama,27457,27455,24686
Bibb,Alabama,22915,22915,22394
Blount,Alabama,57322,57322,57826
Bullock,Alabama,10914,10911,10101
Butler,Alabama,20947,20940,19448
Calhoun,Alabama,118572,118526,113605
Chambers,Alabama,34215,34169,33254
Cherokee,Alabama,25989,25979,26196
Chilton,Alabama,43643,43632,44428
Choctaw,Alabama,13859,13858,12589
Clarke,Alabama,25833,25833,23622
Clay,Alabama,13932,13930,13235
Cleburne,Alabama,14972,14972,14910
Coffee,Alabama,49948,49955,52342
Colbert,Alabama,54428,54428,55241
Conecuh,Alabama,13228,13236,12067
Coosa,Alabama,11539,11756,10663
Covington,Alabama,37765,37762,37049
Crenshaw,Alabama,13906,13893,13772
Cullman,Alabama,80406,80406,83768
Dale,Alabama,50251,50251,49172
Dallas,Alabama,43820,43813,37196
DeKalb,Alabama,71109,71120,71513
Elmore,Alabama,79303,79272,81209
Escambia,Alabama,38319,38320,36633
Etowah,Alabama,104430,104429,102268
Fayette,Alabama,17241,17235,16302
Franklin,Alabama,31704,31709,31362
Geneva,Alabama,26790,26781,26271
Greene,Alabama,9045,9039,8111
Hale,Alabama,15760,15762,14651
Henry,Alabama,17302,17299,17205
Houston,Alabama,101547,101560,105882
Jackson,Alabama,53227,53223,51626
Jefferson,Alabama,658466,658567,658573
Lamar,Alabama,14564,14564,13805
Lauderdale,Alabama,92709,92709,92729
Lawrence,Alabama,34339,34337,32924
Lee,Alabama,140247,140287,164542
Limestone,Alabama,82782,82786,98915
Lowndes,Alabama,11299,11296,9726
Macon,Alabama,21452,21448,18068
Madison,Alabama,334811,334807,372909
Marengo,Alabama,21027,21048,18863
Marion,Alabama,30776,30776,29709
Marshall,Alabama,93019,93019,96774
Mobile,Alabama,412992,413139,413210
Monroe,Alabama,23068,23067,20733
Montgomery,Alabama,229363,229375,226486
Morgan,Alabama,119490,119490,119679
Perry,Alabama,10591,10575,8923
