County,,2010 Census,Base,2019-Pop,,,,,,,,,
Autauga, Alabama,"54,571","54,597","55,869",,,,,,,,,
Baldwin, Alabama,"182,265","182,265","223,234",,,,,,,,,
Barbour, Alabama,"27,457","27,455","24,686",,,,,,,,,
Bibb, Alabama,"22,915","22,915","22,394",,,,,,,,,
Blount, Alabama,"57,322","57,322","57,826",,,,,,,,,
Bullock, Alabama,"10,914","10,911","10,101",,,,,,,,,
Butler, Alabama,"20,947","20,940","19,448",,,,,,,,,
Calhoun, Alabama,"118,572","118,526","113,605",,,,,,,,,
Chambers, Alabama,"34,215","34,169","33,254",,,,,,,,,
Cherokee, Alabama,"25,989","25,979","26,196",,,,,,,,,
Chilton, Alabama,"43,643","43,632","44,428",,,,,,,,,
Choctaw, Alabama,"13,859","13,858","12,589",,,,,,,,,
Clarke, Alabama,"25,833","25,833","23,622",,,,,,,,,
Clay, Alabama,"13,932","13,930","13,235",,,,,,,,,
Cleburne, Alabama,"14,972","14,972","14,910",,,,,,,,,
Coffee, Alabama,"49,948","49,955","52,342",,,,,,,,,
Colbert, Alabama,"54,428","54,428","55,241",,,,,,,,,
Conecuh, Alabama,"13,228","13,236","12,067",,,,,,,,,
Coosa, Alabama,"11,539","11,756","10,663",,,,,,,,,
Covington, Alabama,"37,765","37,762","37,049",,,,,,,,,
Crenshaw, Alabama,"13,906","13,893","13,772",,,,,,,,,
Cullman, Alabama,"80,406","80,406","83,768",,,,,,,,,
Dale, Alabama,"50,251","50,251","49,172",,,,,,,,,
Dallas, Alabama,"43,820","43,813","37,196",,,,,,,,,
DeKalb, Alabama,"71,109","71,120","71,513",,,,,,,,,
Elmore, Alabama,"79,303","79,272","81,209",,,,,,,,,
Escambia, Alabama,"38,319","38,320","36,633",,,,,,,,,
Etowah, Alabama,"104,430","104,429","102,268",,,,,,,,,
Fayette, Alabama,"17,241","17,235","16,302",,,,,,,,,
Franklin, Alabama,"31,704","31,709","31,362",,,,,,,,,
Geneva, Alabama,"26,790","26,781","26,271",,,,,,,,,
