Rank,name,state,pop2019,pop2018,GrowthRate,area,Density
1,China,TRUE,,,1.0039,9706961,147.7068
2,India,NaN,1366417.754,,1.0099,3287590,415.629
3,United States,TRUE,,,1.0059,9372610,35.1092
4,Indonesia,NaN,270625.568,,1.0107,1904569,142.0928
5,Pakistan,NaN,216565.318,,1.02,881912,245.5634
6,Brazil,NaN,211049.527,,1.0072,8515767,24.7834
7,Nigeria,NaN,200963.599,,1.0258,923768,217.5477
8,Bangladesh,NaN,163046.161,,1.0101,147570,1104.8734
9,Russia,NaN,145872.256,,1.0004,17098242,8.5314
10,Mexico,NaN,127575.529,,1.0106,1964375,64.9446
11,Japan,NaN,126860.301,,0.997,377930,335.6714
12,Ethiopia,NaN,112078.73,,1.0257,1104300,101.493
13,Philippines,NaN,108116.615,,1.0135,342353,315.8045
14,Egypt,NaN,100388.073,,1.0194,1002450,100.1427
15,Vietnam,NaN,96462.106,,1.0091,331212,291.2398
16,Congo (Brazzaville),NaN,86790.567,,1.0319,2344858,37.0131
17,Germany,NaN,83517.045,,1.0032,357114,233.8666
18,Turkey,NaN,83429.615,,1.0109,783562,106.4748
19,Iran,NaN,82913.906,,1.013,1648195,50.3059
20,Thailand,NaN,69625.582,,1.0025,513120,135.6906
21,United Kingdom,NaN,67530.172,,1.0053,242900,278.0164
22,France,NaN,65129.728,,1.0022,551695,118.0539
23,Italy,NaN,60550.075,,0.9985,301336,200.9387
24,South Africa,NaN,58558.27,,1.0128,1221037,47.9578
25,Tanzania,NaN,58005.463,,1.0298,945087,61.3758
26,Myanmar,NaN,54045.42,,1.0067,676578,79.8805
27,Kenya,NaN,52573.973,,1.0228,580367,90.5875
28,"Korea, South",NaN,51225.308,,1.0009,100210,511.1796
29,Colombia,NaN,50339.443,,1.0108,1141748,44.0898
30,Spain,NaN,46736.776,,1.0004,505992,92.3666
31,Argentina,NaN,44780.677,,1.0093,2780400,16.1058
32,Uganda,NaN,44269.594,,1.0332,241550,183.273
33,Ukraine,NaN,43993.638,,0.9941,603500,72.8975
34,Algeria,NaN,43053.054,,1.0185,2381741,18.0763
35,Sudan,NaN,42813.238,,1.0242,1886068,22.6997
36,Iraq,NaN,39309.783,,1.0232,438317,89.6835
37,Afghanistan,NaN,38041.754,,1.0233,652230,58.3257
38,Poland,NaN,37887.768,,0.9989,312679,121.1715
39,Canada,NaN,37411.047,,1.0089,9984670,3.7468
