,Season,TeamName,KeyField,CONF,SEED,WL%,EFGPct-OFF,TOPct,ORPct,FTRate,EFGPct-DEF,TOPct.1,ORPct.1,FTRate.1,Off_1-POINTDIST,Off_2,Off_3,Def_1,Def_2,Def_3,FG2Pct-MISC,FG3Pct,FTPct,BlockPct,OppFG2Pct,OppFG3Pct,OppFTPct,OppBlockPct,FG3Rate,OppFG3Rate,ARate,OppARate,StlRate,OppStlRate,DFP,AdjTempo,Tempo-SUMM,OE,AdjOE,DE,AdjDE,AdjEM,TARGET16,WScore,Season,TeamName,KeyField,CONF,SEED,WL%,EFGPct-OFF,TOPct,ORPct,FTRate,EFGPct-DEF,TOPct.1,ORPct.1,FTRate.1,Off_1-POINTDIST,Off_2,Off_3,Def_1,Def_2,Def_3,FG2Pct-MISC,FG3Pct,FTPct,BlockPct,OppFG2Pct,OppFG3Pct,OppFTPct,OppBlockPct,FG3Rate,OppFG3Rate,ARate,OppARate,StlRate,OppStlRate,DFP,AdjTempo,Tempo-SUMM,OE,AdjOE,DE,AdjDE,AdjEM,TARGET16,LScore,score_delta
3727,2007,Niagara,2007Niagara,16.0,16.0,1.9166666669999999,52.2618,19.2451,32.1003,30.9432,52.2618,19.2451,32.1003,30.9432,22.6827,46.3451,30.9721,16.7497,57.0333,26.2169,46.3801,34.2929,73.0583,3.8141,51.595,35.8491,67.9627,8.5973,37.6,30.6064,52.5309,52.8807,0.0908,0.0863,7.5,66.63,63.87,97.48,97.03,104.03,99.72,-2.69,0.0,77,2007,Florida A&M,2007Florida A&M,18.0,16.0,1.5,50.4929,21.2748,34.1008,32.9135,50.4929,21.2748,34.1008,32.9135,22.6099,52.3788,25.0113,18.3348,42.0726,39.5926,48.7352,35.7977,65.3141,5.7554,48.8181,34.9355,68.8852,9.1062,30.2353,46.7141,55.7743,60.6727,0.0947,0.1089,-9.5,72.62,71.49,101.7,102.81,101.3,94.62,8.19,0.0,69,8
3566,2007,Boston College,2007Boston College,2.0,7.0,1.75,49.0991,18.1444,37.0981,24.4745,49.0991,18.1444,37.0981,24.4745,23.3592,52.6702,23.9706,14.8068,60.7034,24.4898,53.7885,34.8754,72.4399,13.1044,48.9839,32.9247,69.7342,9.4921,31.8775,28.5786,57.1259,52.3112,0.0859,0.1042,3.2,70.45,69.68,114.0,114.64,100.73,95.8,18.85,0.0,84,2007,Texas Tech,2007Texas Tech,7.0,10.0,1.615384615,51.9017,22.6671,35.6213,30.0581,51.9017,22.6671,35.6213,30.0581,22.3636,52.0312,25.6053,16.3474,55.6833,27.9693,46.8588,41.1881,73.9484,4.9442,52.1531,34.2723,67.4868,6.7997,27.1798,33.7559,53.6817,49.9427,0.10099999999999999,0.0773,7.0,67.02,65.04,97.49,93.25,106.07,105.23,-11.98,0.0,75,9
3573,2007,Butler,2007Butler,8.0,5.0,4.1428571430000005,45.9375,21.5229,33.1892,42.3125,45.9375,21.5229,33.1892,42.3125,22.2416,37.5927,40.1657,24.031,48.9922,26.9767,49.5402,37.0773,75.5556,5.959,44.1341,33.0798,68.6854,11.1494,48.7633,32.875,56.2331,50.3086,0.0896,0.0584,12.4,68.27,66.21,114.89,112.8,98.8,94.95,17.85,0.0,57,2007,Old Dominion,2007Old Dominion,13.0,12.0,2.666666667,47.0639,21.178,29.1775,35.6937,47.0639,21.178,29.1775,35.6937,20.916999999999998,48.2969,30.785999999999998,19.9706,50.2203,29.8091,48.1707,34.5588,72.46600000000001,10.0974,45.4384,33.3882,65.8065,8.5366,37.1991,35.0029,61.1675,55.3073,0.1185,0.0858,7.1,65.36,65.05,102.74,100.62,108.49,105.84,-5.22,0.0,46,11
3635,2007,Georgetown,2007Georgetown,8.0,2.0,4.285714286,44.0568,19.2612,33.9489,32.093,44.0568,19.2612,33.9489,32.093,18.5519,53.8552,27.593000000000004,20.5499,48.5555,30.8947,57.7666,37.0079,70.9581,15.6716,43.2007,30.3155,71.0145,7.1369,34.7755,37.6744,59.1549,54.4474,0.0866,0.1128,0.2,71.0,70.04,103.45,102.97,99.81,95.76,7.21,0.0,80,2007,Belmont,2007Belmont,22.0,15.0,2.3,43.7092,19.4167,33.6367,36.3834,43.7092,19.4167,33.6367,36.3834,16.8184,46.6407,36.541,22.6133,54.0984,23.2883,54.5639,36.2113,68.6726,8.0,44.0,28.6988,70.2096,9.9391,44.0409,30.5556,60.6838,56.3712,0.0901,0.1285,5.9,68.87,66.47,107.42,108.33,97.34,88.61,19.72,0.0,55,25
3657,2007,Indiana,2007Indiana,6.0,7.0,1.9090909090000001,46.2025,21.7668,31.7143,46.2025,46.2025,21.7668,31.7143,46.2025,19.0561,47.2841,33.6598,26.1881,51.6684,22.1436,48.5375,38.1241,70.9784,12.3656,45.7885,31.4655,70.9589,8.7751,37.6638,29.3671,54.1507,49.4673,0.1003,0.0935,16.9,69.92,69.34,112.52,108.84,103.82,103.7,5.14,0.0,70,2007,Gonzaga,2007Gonzaga,32.0,10.0,2.090909091,46.665,18.7306,30.0347,36.4858,46.665,18.7306,30.0347,36.4858,21.4715,53.0781,25.4505,21.3177,44.3139,34.3684,51.8328,39.7188,75.0656,9.9751,43.8903,33.871,69.3042,7.7713,29.4361,40.1195,52.9475,54.9313,0.0857,0.0849,2.0,64.98,62.34,102.44,100.52,98.73,93.95,6.57,0.0,57,13
3685,2007,Louisville,2007Louisville,2.0,6.0,2.4,45.5342,22.4658,33.8349,45.5341,45.5342,22.4658,33.8349,45.5341,20.3224,48.8757,30.8019,24.9639,48.7734,26.2626,49.9133,33.2418,68.4286,11.841,43.8202,32.7338,66.5385,9.0121,38.6823,32.4577,58.6797,56.4586,0.1119,0.0872,8.6,66.93,63.84,105.92,102.46,104.72,100.82,1.64,0.0,78,2007,Stanford,2007Stanford,23.0,11.0,1.384615385,46.218999999999994,16.8138,28.9238,35.7788,46.218999999999994,16.8138,28.9238,35.7788,19.7588,56.0297,24.2115,21.25,54.2308,24.5192,48.748999999999995,34.8697,68.16,14.511,44.4795,33.7302,69.7161,6.3761,28.7112,28.4424,59.126000000000005,47.2752,0.0688,0.1204,15.3,68.21,67.44,90.31,86.44,98.8,96.7,-10.26,0.0,58,20
3695,2007,Maryland,2007Maryland,6.0,4.0,2.777777778,43.7175,22.6521,35.9269,30.2315,43.7175,22.6521,35.9269,30.2315,20.3724,57.7281,21.8994,19.3464,53.8562,26.7974,50.8864,38.5069,69.5044,16.1918,42.9465,30.236,69.375,8.6014,25.0492,32.0265,60.4531,48.1166,0.1013,0.1097,8.2,64.27,61.76,101.84,102.45,106.39,101.91,0.54,0.0,82,2007,Davidson,2007Davidson,1.0,13.0,5.8,49.4031,22.9635,27.6949,30.8736,49.4031,22.9635,27.6949,30.8736,19.1824,46.6195,34.1981,17.6763,48.0108,34.3128,49.4167,36.9898,75.6589,6.1511,46.6608,35.8865,68.717,6.8333,39.5161,38.2528,56.2854,53.8265,0.0978,0.0944,6.0,68.37,67.37,109.41,109.97,102.6,97.14,12.83,0.0,70,12
3704,2007,Michigan St.,2007Michigan St.,6.0,9.0,1.9166666669999999,44.4986,20.0741,31.0345,37.8797,44.4986,20.0741,31.0345,37.8797,21.1775,54.833,23.9895,22.3888,45.977,31.6342,50.6494,37.6033,71.8331,14.8488,42.1632,32.263000000000005,67.7761,9.5779,28.2051,37.4785,69.3548,57.376999999999995,0.0844,0.1018,2.7,67.71,65.17,105.46,101.11,102.4,102.1,-0.99,0.0,61,2007,Marquette,2007Marquette,8.0,8.0,2.4,47.1827,24.2915,35.039,39.8975,47.1827,24.2915,35.039,39.8975,21.2928,51.4575,27.2497,22.5596,51.3779,26.0626,48.9157,33.5413,67.0213,9.1954,45.156000000000006,34.5083,68.9016,11.004000000000001,33.9873,30.6773,55.9466,57.6087,0.1261,0.1056,7.5,66.59,64.26,104.07,101.62,104.07,100.91,0.71,0.0,49,12
3731,2007,North Carolina,2007North Carolina,2.0,1.0,4.428571429,47.0207,21.419,29.6145,27.8929,47.0207,21.419,29.6145,27.8929,20.5341,59.6685,19.7974,16.4877,54.2945,29.2178,54.6067,35.7737,71.1702,11.0045,45.2975,33.7317,66.5635,8.5955,25.2415,32.513000000000005,58.9722,53.2225,0.1101,0.1012,7.6,65.61,62.91,103.96,99.98,101.6,102.98,-3.0,0.0,86,2007,Eastern Kentucky,2007Eastern Kentucky,22.0,16.0,1.75,52.3913,24.1728,36.3493,28.0745,52.3913,24.1728,36.3493,28.0745,15.0123,47.8025,37.1852,15.2687,52.0342,32.6971,55.5683,35.7041,67.5556,7.5622,51.5423,35.8678,67.2566,9.1848,44.6633,37.5776,60.8163,61.7687,0.1242,0.1098,-3.7,69.25,67.41,109.03,106.87,100.11,96.8,10.07,0.0,65,21
3747,2007,Ohio St.,2007Ohio St.,6.0,1.0,8.75,46.7085,20.2412,31.2432,21.6301,46.7085,20.2412,31.2432,21.6301,19.2771,51.0843,29.6386,13.6947,51.5515,34.7538,53.5354,36.1006,70.2635,15.5,44.5,33.6134,68.53,6.9264,36.4512,37.3041,56.6569,54.0421,0.1043,0.0761,-0.2,62.47,60.72,100.74,97.83,104.54,102.95,-5.12,0.0,78,2007,Central Connecticut,2007Central Connecticut,21.0,16.0,1.8333333330000001,49.9734,20.8507,32.8999,29.3617,49.9734,20.8507,32.8999,29.3617,21.4164,45.0512,33.5324,16.2656,54.7237,29.0107,46.5608,38.0814,72.9651,9.3193,49.7569,33.5913,66.1232,9.3474,37.7607,34.3617,53.6709,53.3093,0.0921,0.1043,4.0,69.22,67.61,104.81,105.78,97.56,89.48,16.3,0.0,57,21
